Platform;Played;Name;OpenCritic;Genre;Multiplayer;Source
PS4; ;10 Second Ninja X;77;Platformer;Online;ESSENTIAL
PS4; ;Inside;91;Puzzle;Online;EXTRA
PS4;X;Red Dead Redemption 2;95;Action;Online;BOUGHT
PS4;X;The Last of Us Remastered;95;Adventure;Online;BOUGHT
PS4;X;Persona 5;94;RPG;Online;COLLECTION (PS5)
PS4;X;2064: Read Only Memories;78;Interactive Story;Online;ESSENTIAL
PS4;X;Journey;93;Adventure;Online;ESSENTIAL
PS4;X;METAL GEAR SOLID V: THE PHANTOM PAIN;93;RPG;Online;ESSENTIAL
PS4/PS5;i;Disco Elysium - The Final Cut;89;RPG;Online;EXTRA
PS5;X;Grand Theft Auto V Online;92;Action;Online;ESSENTIAL
PS4;X;The Witcher 3: Wild Hunt;92;RPG;Online;BOUGHT
PS5; ;Toem;80;Puzzle;Online;ESSENTIAL
PS4; ;Granblue Fantasy: Versus;79;Fighting;Both;ESSENTIAL
PS4; ;Need for Speed Heat;72;Racing;Online;ESSENTIAL
PS4; ;Far Cry 4;83;Shooter;Online;EXTRA
PS4; ;Astebreed;82;Arcade;Online;EXTRA
PS4; ;99Vidas;69;Arcade;Both;ESSENTIAL
PS5;X;A Plague Tale: Innocence;82;Adventure;Online;ESSENTIAL
PS4;X;Far Cry 5;82;Shooter;Online;BOUGHT/EXTRA
PS4;X;Monster Hunter: World;90;RPG;Online;BOUGHT
PS4; ;Alien: Isolation;81;Horror;Online;EXTRA
PS4/PS5;X;Tony Hawk's Pro Skater 1+2;90;Sports;Online;ESSENTIAL
PS4/PS5; ;FAR: Changing Tides;80;Adventure;Online;EXTRA
PS4;X;Monster Hunter World;90;RPG;Online;BOUGHT
PS4;X;Elite Dangerous;79;Simulation;Online;BOUGHT/EXTRA
PS4;X;Slay the Spire;89;Strategy;Online;ESSENTIAL
VR; ;ASTRO BOT Rescue Mission;89;Action;Online;FREE
PS4; ;Battlefield 1;88;Shooter;Online;COLLECTION (PS5)
PS4;X;Dragon Age: Inquisition;88;RPG;Online;BOUGHT
PS4;X;Nioh;88;RPG;Online;ESSENTIAL
PS5;X;Overcooked! All You Can Eat;88;Arcade;Both;ESSENTIAL
PS4; ;Sonic Mania;88;Platformer;Both;ESSENTIAL
PS4;X;Titanfall 2;88;Shooter;Online;ESSENTIAL
PS4;X;What Remains of Edith Finch;88;Adventure;Online;ESSENTIAL
PS4;X;Ratchet and Clank;87;Action;Online;COLLECTION (PS5)
PS4;X;Ratchet & Clank;87;Shooter;Online;FREE
PS4;X;Trine 2: Complete Story;87;Puzzle;Both;BOUGHT
PS4;X;Amnesia Collection;77;Horror;Online;ESSENTIAL
PS4;X;Resident Evil 7 Biohazard;86;Horror;Online;COLLECTION (PS5)
PS4;X;Day of the Tentacle Remastered;86;Adventure;Online;ESSENTIAL
PS4; ;MLB The Show 19;86;Sports;Online;ESSENTIAL
VR; ;Moss;86;Puzzle;Online;FREE
PS4;X;Rise of the Tomb Raider;86;Adventure;Online;ESSENTIAL
PS4; ;The Witness;86;Puzzle;Online;ESSENTIAL
PS4;X;Uncharted: The Nathan Drake Collection;86;Adventure;Online;BOUGHT
PS4;X;Another World - 20th Anniversary;72;Platfortmer;Online;ESSENTIAL
PS4/PS5;X;Crash Bandicoot 4: It's About Time;85;Platformer;Local;NL/ESSENTIAL
PS4/PS5;X;Deep Rock Galactic;85;Action;Online;ESSENTIAL
PS4;X;Middle-earth: Shadow of Mordor;85;Adventure;Online;BOUGHT
PS4/PS5;X;Subnautica;85;Survival;Online;FREE
PS4; ;Thumper;85;Music;Online;ESSENTIAL
PS4/VR; ;WIPEOUT OMEGA COLLECTION;85;Racing;Online;ESSENTIAL
PS4; ;Mortal Kombat X;84;Fighting;Both;COLLECTION (PS5)
PS4;X;Bioshock: The Collection;84;Shooter;Online;ESSENTIAL
PS4; ;Call of Duty: Black Ops 4;84;Shooter;Online;ESSENTIAL
PS4; ;Destiny 2;84;Shooter;Online;ESSENTIAL
PS4; ;NBA 2K16;84;Sports;Both;ESSENTIAL
PS5; ;Oddworld: Soulstorm;84;Platformer;Online;ESSENTIAL
PS4;X;Resident Evil Village;84;Horror;Online;NL
PS4;X;Tales from the Borderlands;84;Interactive Story;Online;ESSENTIAL
PS4; ;Tearway Unfolded;84;Puzzle;Online;ESSENTIAL
VR; ;The Walking Dead: Saints & Sinners;84;Horror;Online;ESSENTIAL
PS4/PS5;X;Arcadegeddon;68;Action;Online;ESSENTIAL
PS4;X;ARK: Survival Evolved;64;Survival;Both;ESSENTIAL
PS4; ;Call of Duty: Modern Warfare Remastered;83;Shooter;Online;ESSENTIAL
PS4;X;Deus Ex: Mankind Divided;83;RPG;Online;ESSENTIAL
PS4; ;DiRT Rally 2.0;83;Racing;Online;ESSENTIAL
PS4;X;Downwell;83;Platfortmer;Online;ESSENTIAL
PS4;X;FIFA 16;83;Sports;Both;BOUGHT
PS4; ;HITMAN 2;83;Simulation;Online;ESSENTIAL
PS4; ;Invisible, Inc. Console Edition;83;Strategy;Online;ESSENTIAL
PS4;X;Persona 5 Strikers;83;Action;Online;ESSENTIAL
PS5;X;Planet Coaster: Console Edition;83;Simulation;Online;ESSENTIAL
PS4/PS5;X;Subnautica: Below Zero;83;Survival;Online;BOUGHT
PS4; ;Laser League;82;Sports;Online;ESSENTIAL
PS4; ;Lovers in a Dangerous Spacetime;82;Action;Local;ESSENTIAL
PS4;X;Middle-earth: Shadow of War;82;Adventure;Online;BOUGHT
PS4;X;Crash Bandicoot N. Sane Trilogy;81;Platformer;Online;COLLECTION (PS5)
PS4;X;Borderlands: The Handsome Collection;81;Shooter;Both;BOUGHT
PS4; ;Curse of the Dead Gods;81;Action;Online;ESSENTIAL
PS4/PS5; ;DIRT 5;81;Racing;Both;ESSENTIAL
PS4; ;Injustice: Gods Among Us Ultimate Edition;81;Fighting;Both;FREE
PS4; ;Life is Strange;81;Interactive Story;Online;ESSENTIAL
PS4; ;Resident Evil;81;Horror;Online;ESSENTIAL
PS4;X;Trine Enchanted Edition;81;Puzzle;Both;BOUGHT
PS4; ;Call of Duty: Black Ops III - Zombie Chronicles Edition;80;Shooter;Both;COLLECTION (PS5)
PS4;X;God of War III Remastered;80;Action;Online;ESSENTIAL
VR; ;Paper Beast;80;Adventure;Online;FREE
PS4;X;Shadow of the Tomb Raider;80;Adventure;Online;ESSENTIAL
PS4;i;Superhot;82;Action;Online;ESSENTIAL
PS4;X;Battlefield 4;79;Shooter;Online;BOUGHT
PS4; ;Battlefield V;79;Shooter;Online;ESSENTIAL
VR; ;Firewall Zero Hour;79;Shooter;Online;ESSENTIAL
PS4;X;Gone Home: Console Edition;79;Adventure;Online;ESSENTIAL
PS4; ;ONRUSH;79;Racing;Online;ESSENTIAL
PS4;X;Overcooked;79;Arcade;Local;ESSENTIAL
PS4; ;Remnant: From the Ashes;79;RPG;Online;ESSENTIAL
PS4;X;RIME;79;Adventure;Online;ESSENTIAL
PS4; ;STAR WARS: Squadrons;79;Action;Online;ESSENTIAL
PS4; ;This War of Mine: The Little Ones;79;Strategy;Online;ESSENTIAL
VR;X;Until You Fall;79;Horror;Online;ESSENTIAL
PS4; ;Call of Duty: WWII;78;Shooter;Both;ESSENTIAL
PS4;X;Everybody's Gone to the Rapture;78;Adventure;Online;ESSENTIAL
PS4/PS5;X;FIFA 22;78;Sports;Both;ESSENTIAL
PS4/PS5;X;Furi;78;Action;Online;ESSENTIAL
PS4;X;Killing Floor 2;78;Shooter;Online;ESSENTIAL
PS4/VR; ;TrackMania Turbo;78;Racing;Both;ESSENTIAL
PS4; ;Virtua Fighter 5 Ultimate Showdown;78;Fighting;Both;ESSENTIAL
PS4;X;Assassin's Creed Syndicate;77;Adventure;Online;BOUGHT
PS4; ;EA SPORTS UFC 4;77;Sports;Both;ESSENTIAL
PS4;X;Far Cry Primal;77;Adventure;Online;BOUGHT
PS4; ;Mortal Shell;77;RPG;Online;ESSENTIAL
PS4; ;PSYCHO-PASS MANDATORY HAPPINESS;77;Interactive Story;Online;ESSENTIAL
PS4; ;RIGS Mechanized Combat League;77;Sports;Online;ESSENTIAL
PS4; ;Rogue Aces;77;Action;Online;ESSENTIAL
PS4; ;TRANSFORMERS: Devastation;77;Action;Online;ESSENTIAL
PS4; ;Azkend 2;65;Puzzle;Online;ESSENTIAL
PS4;X;BADLAND: Game of the Year Edition;73;Platfortmer;Local;ESSENTIAL
PS4;X;Bulletstorm: Full Clip Edition;76;Shooter;Online;ESSENTIAL
PS4/PS5;X;Cyberpunk 2077;76;RPG;Online;BOUGHT
PS4/VR; ;Gran Turismo SPORT;76;Racing;Online;NL
PS4; ;Grand Kingdom;76;RPG;Online;ESSENTIAL
PS5; ;Hell Let Loose;76;Action;Online;ESSENTIAL
PS4; ;NBA 2K20;76;Sports;Both;ESSENTIAL
PS4; ;Operation: Tango;76;Puzzle;Online;ESSENTIAL
PS4; ;Q.U.B.E: Director's Cut;76;Puzzle;Online;ESSENTIAL
PS4; ;Tropico 5;76;Strategy;Online;ESSENTIAL
PS4;X;Batman The Telltale Series;71;Interactive Story;Online;ESSENTIAL
PS4; ;Burly Men At Sea;75;Interactive Story;Online;ESSENTIAL
PS4; ;forma.8;75;Puzzle;Online;ESSENTIAL
PS4; ;Lumo;75;Puzzle;Online;ESSENTIAL
PS4; ;NOT A HERO;75;Action;Online;ESSENTIAL
PS4;X;Outlast 2;75;Horror;Online;ESSENTIAL
PS4; ;Plants vs. Zombies: Battle for Neighborville;75;Shooter;Both;ESSENTIAL
PS4; ;Street Fighter V;75;Fighting;Both;ESSENTIAL
PS4; ;Titan Souls;75;Action;Online;ESSENTIAL
PS4/PS5; ;Tribes of Midgard;75;Action;Online;ESSENTIAL
PS4/PS5; ;Nioh 2;86;RPG;Online;ESSENTIAL
PS4; ;Darksiders II Deathinitive Edition;74;Action;Online;ESSENTIAL
PS4;X;Dying Light;74;Adventure;Online;BOUGHT
PS4;X;Just Cause 3;74;Action;Online;BOUGHT
PS4; ;LEGO DC Super-Villains;74;Adventure;Local;ESSENTIAL
PS4; ;Roundabout;74;Racing;Online;ESSENTIAL
PS4; ;Sky Force Anniversary;74;Action;Both;ESSENTIAL
PS4;X;Stories: The Path of Destinies;74;Action;Online;ESSENTIAL
PS4; ;Team Sonic Racing;74;Racing;Both;ESSENTIAL
PS4; ;The Bridge;74;Puzzle;Online;ESSENTIAL
PS4/PS5; ;The Persistence;74;Horror;Online;ESSENTIAL
PS4;X;Beyond: Two Souls;70;Interactive Story;Local;ESSENTIAL
PS4/PS5; ;Biomutant;67;RPG;Online;ESSENTIAL
PS4; ;Call of Duty: Modern Warfare 2 Remastered;73;Shooter;Online;ESSENTIAL
PS4; ;Don't Die Mr Robot;73;Action;Online;ESSENTIAL
PS4; ;Extreme Exorcism;73;Action;Local;ESSENTIAL
PS4;X;Kingdoms of Amalur: Re-Reckoning;73;RPG;Online;ESSENTIAL
PS4; ;Spy Chameleon;73;Arcade;Online;ESSENTIAL
PS4; ;Strike Vector EX;73;Action;Online;ESSENTIAL
PS5;X;Maquette;72;Puzzle;Online;ESSENTIAL
PS4; ;STARWHAL;72;Arcade;Local;ESSENTIAL
PS4;X;The Deadly Tower of Monsters;72;Action;Online;ESSENTIAL
PS4/VR;X;Until Dawn: Rush of Blood;72;Horror;Online;ESSENTIAL
PS4; ;Bombing Busters;60;Arcade;Both;ESSENTIAL
PS4; ;Erica;71;Puzzle;Online;ESSENTIAL
VR; ;Farpoint;71;Shooter;Online;ESSENTIAL
PS4;X;HEAVY RAIN;71;Interactive Story;Online;ESSENTIAL
PS4; ;HITMAN;71;Simulation;Online;ESSENTIAL
PS4; ;Rocket Arena;71;Shooter;Online;ESSENTIAL
PS4; ;Super Motherload;71;Adventure;Local;ESSENTIAL
PS4; ;Ultratron;71;Arcade;Online;ESSENTIAL
PS4; ;Worms Battlegrounds;71;Strategy;Both;ESSENTIAL
PS4;X;Disc Jam;70;Sports;Both;ESSENTIAL
PS4; ;Farming Simulator 19;70;Simulation;Online;ESSENTIAL
PS4; ;Laser Disco Defenders;70;Action;Online;ESSENTIAL
PS4;X;Mad Max;70;Adventure;Online;ESSENTIAL
PS4; ;Ninja Senki DX;70;Action;Online;ESSENTIAL
PS4; ;SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated;70;Action;Both;ESSENTIAL
PS4; ;The LEGO NINJAGO Movie Video Games;70;Action;Local;ESSENTIAL
PS4; ;The Sims 4;70;Simulation;Online;ESSENTIAL
PS4; ;WE WERE HERE;70;Puzzle;Online;ESSENTIAL
PS4/PS5; ;Worms Rumble;70;Action;Online;ESSENTIAL
PS4;X;Conan Exiles;69;Survival;Online;ESSENTIAL
PS4; ;Fallen Legion: Flames of Rebellion;69;Action;Online;ESSENTIAL
PS4; ;Lords of the Fallen;69;RPG;Online;ESSENTIAL
PS4; ;Sparkle 2;69;Puzzle;Online;ESSENTIAL
PS4; ;The Swindle;69;Action;Online;ESSENTIAL
PS4;X;Just Cause 4;68;Action;Online;ESSENTIAL
VR; ;StarBlood Arena;68;Shooter;Online;ESSENTIAL
PS4;X;Trine 3: The Artifacts of Power;68;Platfortmer;Local;BOUGHT
PS4/PS5;X;Nickelodeon All-Star Brawl;67;Fighting;Both;ESSENTIAL
PS4/PS5; ;Hot Wheels Unleashed;74;Racing;Both;ESSENTIAL
PS4; ;Curses 'N Chaos;67;Arcade;Both;ESSENTIAL
PS4; ;Gunhouse;67;Action;Online;ESSENTIAL
PS4;X;STAR WARS Battlefront II;67;Shooter;Both;ESSENTIAL
PS4;X;Table Top Racing: World Tour;67;Racing;Online;ESSENTIAL
PS4; ;Type:Rider;67;Puzzle;Online;ESSENTIAL
PS4/PS5; ;Hood: Outlaws & Legends;66;Action;Online;ESSENTIAL
PS4; ;King Oddball;66;Puzzle;Online;ESSENTIAL
PS4; ;Monster Energy Supercross - The Official Videogame;66;Sports;Online;ESSENTIAL
PS4; ;Neon Chrome;66;Shooter;Local;ESSENTIAL
PS4; ;Switch Galaxy Ultra;66;Racing;Online;ESSENTIAL
PS4; ;Claire;65;Horror;Online;ESSENTIAL
PS4;X;Color Guardians;65;Platformer;Online;ESSENTIAL
PS4; ;Dungeon Punks;65;Platformer;Online;ESSENTIAL
PS4;X;Foul Play;65;Action;Both;ESSENTIAL
PS4; ;Hyper Void;65;Arcade;Online;ESSENTIAL
PS4;X;Naruto to Boruto: Shinobi Strikers;64;Action;Online;ESSENTIAL
PS4; ;Rocketbirds 2: Evolution;64;Platfortmer;Both;ESSENTIAL
PS4; ;WE ARE DOOMED;64;Arcade;Online;ESSENTIAL
PS4; ;Kung Fu Panda: Showdown of Legendary Legends;63;Fighting;Local;ESSENTIAL
PS4; ;Tiny Troopers Joint Ops;63;Action;Online;ESSENTIAL
PS4;X;Game of Thrones;62;Interactive Story;Online;ESSENTIAL
PS4; ;TorqueL;62;Puzzle;Online;ESSENTIAL
PS4; ;Friday the 13th: The Game;61;Horror;Online;ESSENTIAL
PS4/VR; ;Here they Lie;61;Horror;Online;ESSENTIAL
PS4; ;Need for Speed Payback;61;Racing;Online;ESSENTIAL
PS4;X;Goat Simulator;60;Arcade;Local;ESSENTIAL
PS4; ;Pumped BMX+;60;Sports;Online;ESSENTIAL
PS4;i;Mass Effect Legendary Edition;87;RPG;Online;ESSENTIAL
PS4;X;SOMA;83;Horror;Online;ESSENTIAL
PS4; ;Uncanny Valley;59;Horror;Online;ESSENTIAL
PS4; ;WWE 2K Battlegrounds;59;Fighting;Both;ESSENTIAL
PS4; ;Hatoful Boyfriend;58;Simulation;Online;ESSENTIAL
PS4; ;SONIC FORCES;58;Platformer;Online;ESSENTIAL
PS4; ;Predator: Hunting Grounds;57;Shooter;Online;ESSENTIAL
PS4;X;Drawn to Death;55;Shooter;Online;ESSENTIAL
PS4; ;Mighty No. 9;53;Platformer;Online;ESSENTIAL
PS4; ;Q*Bert Rebooted;48;Arcade;Online;ESSENTIAL
PS4/PS5; ;First Class Trouble;34;Arcase;Online;ESSENTIAL
PS4/PS5; ;Hunter's Arena: Legends;64;Action;Online;ESSENTIAL
PS4; ;In Space We Brawl;44;Action;Local;ESSENTIAL
PS4; ;Letter Quest Remastered;90;Arcade;Online;ESSENTIAL
PS4; ;Space Overlords;10;Action;Local;ESSENTIAL
PS4/PS5; ;The Quarry;79;Interactive Story;Both;EXTRA
PS4/PS5; ;Divine Knockout: Founder's Edition;74;Fighting;Online;ESSENTIAL
PS4/PS5;X;Assassin�s Creed Valhalla;85;RPG;Online;NL
PS4/PS5; ;R�ki;78;Adventure;Online;EXTRA
PS4; ;Lego Harry Potter Collection;74;Adventure;Local;ESSENTIAL
PS4/PS5;X;Greedfall;74;RPG;Online;ESSENTIAL
PS4/PS4; ;Heavenly Bodies;73;Arcada;Local;ESSENTIAL
PS5; ;The Medium;75;Horror;Online;EXTRA
PS4/PS5; ;Axiom Verge 2;78;Platformer;Online;ESSENTIAL
PS4;X;Mafia III: Definitive Edition;64;Action;Online;ESSENTIAL
PS4/PS5; ;Eldest Souls;74;Action;Online;EXTRA
PS4/PS5; ;The Dark Pictures Anthology: House of Ashes;73;Interactive Story;Online;EXTRA
PS5; ;Gotham Knights;68;Action;Online;EXTRA
PS4; ;Dead Island Definitive Edition;66;Action;Online;EXTRA
PS4;X;The Crew;62;Racing;Online;EXTRA
PS4/PS5; ;OlliOlliWorld;86;Arcade;Online;ESSENTIAL
PS4; ;Gungrave G.O.R.E.;59;Action;Online;EXTRA
PS4; ;Goosebumps: The Game;87;Horror;Online;EXTRA
PS4/PS5;i;Diablo IV;90;RPG;Both;BOUGHT
PS4/PS5; ;Destiny 2: Beyond Light;84;Shooter;Online;ESSENTIAL
PS4;X;God of War;95;Adventure;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Star Wars Jedi: Fallen Order;83;Action;Online;ESSENTIAL
PS4;X;Celeste;93;Platformer;Online;BOUGHT/EXTRA
PS4;X;Undertale;93;RPG;Online;EXTRA
PS4; ;Injustice 2;88;Fighting;Both;ESSENTIAL
PS5;X;Demon�s Souls;92;RPG;Online;EXTRA
PS4; ;Mafia: The Definitive Edition;80;Shooter;Online;ESSENTIAL
PS4/PS5; ;Tails of Iron;83;Action;Online;ESSENTIAL
PS4; ;Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition;92;RPG;Online;EXTRA
PS4;X;Uncharted 4: A Thief�s End;92;Adventure;Online;COLLECTION/EXTRA
PS4;X;Bloodborne;91;RPG;Online;ESSENTIAL/EXTRA
PS4/VR;X;Dreams;91;Adventure;Local;ESSENTIAL/EXTRA
PS4;X;Hollow Knight: Voidheart Edition;91;Platformer;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Death's Door;88;Action;Online;ESSENTIAL
PS4;X;Shadow of the Colossus;91;Adventure;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Alan Wake Remastered;80;Horror;Online;ESSENTIAL
PS5; ;Devil May Cry 5: Special Edition;90;Action;Online;EXTRA
PS4;X;Horizon Zero Dawn Complete Edition;90;Adventure;Online;BOUGHT/EXTRA
PS4/PS5; ;Evil Dead: The Game;74;Shooter;Online;ESSENTIAL
PS4/PS5; ;Chivalry 2;82;Action;Online;ESSENTIAL
PS4;X;Rayman Legends;90;Platfortmer;Local;ESSENTIAL/EXTRA
PS4/VR; ;Tetris Effect: Connected;90;Puzzle;Online;EXTRA
PS4;i;Cid Meier's Civilization VI;89;Strategy;Online;EXTRA
PS4;X;Dead Cells;89;Platformer;Online;EXTRA
PS4/PS5; ;Doom Eternal;89;Shooter;Online;EXTRA
PS4;i;Odin Sphere Leifthrasir;89;RPG;Online;EXTRA
PS5; ;Ratchet & Clank: Rift Apart;89;Action;Online;EXTRA
PS4/VR;X;Rez Infinite;89;Music;Online;ESSENTIAL/EXTRA
PS4;X;Rogue Legacy 2;89;Platformer;Online;EXTRA
PS4/PS5;X;Sea of Stars;89;RPG;Online;EXTRA
PS5;X;Final Fantasy VII Remake Intergrade;88;RPG;Online;ESSENTIAL/EXTRA
PS4/PS5;X;Horizon Forbidden West;88;Action;Online;EXTRA
PS4/PS5; ;It Takes Two;88;Puzzle;Both;EXTRA
PS5; ;Uncharted Legacy of Thieves Collection;88;Adventure;Online;EXTRA
PS4/PS5; ;GRID Legends;76;Racing;Online;ESSENTIAL
PS4/PS5; ;Jurassic World Evolution 2;79;Simulation;Online;ESSENTIAL
PS4/PS5; ;NBA 2K23;79;Sports;Both;ESSENTIAL
PS4;X;Fallout 4;87;RPG;Online;BOUGHT/EXTRA
PS4;X;Teenage Mutant Ninja Turtles: Shredder's Revenge;87;Arcade;Both;EXTRA
PS4;X;XCOM 2;87;Strategy;Online;ESSENTIAL/EXTRA
PS4;i;13 Sentinels: Aegis Rim;86;Adventure;Online;EXTRA
PS4;X;Assassin's Creed IV Black Flag;86;Action;Online;EXTRA
PS4;X;Batman: Arkham Knight;86;Action;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Meet Your Maker;37;Shooter;Online;ESSENTIAL
PS4;X;Desperados III;86;Strategy;Online;EXTRA
PS4;X;Black Desert - Traveler Edition;71;RPG;Online;ESSENTIAL
PS4; ;Dishonored 2;86;Action;Online;EXTRA
PS4;X;DOOM;86;Shooter;Online;EXTRA
PS4/PS5; ;Endling - Extinction is Forever;79;Adventure;Online;ESSENTIAL
PS4; ;Dragon Ball FighterZ;86;Fighting;Both;EXTRA
PS4/PS5;X;Inscryption;86;Strategy;Online;EXTRA
PS4/PS5;X;Marvel�s Spider-Man: Miles Morales;86;Action;Online;NL/EXTRA
PS4/PS5;X;Bramble: the Mountain King;1;Platformer;Online;BOUGHT
PS4/PS5; ;Monster Boy and the Cursed Kingdom;86;Platformer;Online;EXTRA
PS5;X;Returnal;86;Shooter;Online;EXTRA
PS4;X;Spiritfarer: Farewell Edition;86;Platfortmer;Local;EXTRA
PS4;X;The Messenger;86;Platformer;Online;EXTRA
PS4; ;Uncharted: The Lost Legacy;86;Adventure;Online;EXTRA
PS4/PS5; ;Call of Duty: Black Ops Cold War;75;Shooter;Online;ESSENTIAL
PS4; ;Wolfenstein II: The New Colossus;86;Shooter;Online;EXTRA
PS4/PS5; ;Trek to Yomi;71;Adventure;Online;ESSENTIAL
PS4; ;Yakuza 6: The Song of Life;86;Action;Online;EXTRA
PS4/PS5; ;Yakuza: Like a Dragon;86;Action;Online;ESSENTIAL/EXTRA
PS4; ;Assassin's Creed Origins;85;Adventure;Online;EXTRA
PS4/PS5;X;Control: Ultimate Edition;85;Action;Online;ESSENTIAL/EXTRA
PS4;X;Dragon Quest Builders 2;85;RPG;Online;EXTRA
PS4;X;Enter The Gungeon;85;Action;Local;ESSENTIAL/EXTRA
PS4; ;Final Fantasy XII The Zodiac Age;85;RPG;Online;EXTRA
PS4; ;Frostpunk Console Edition;85;Strategy;Online;EXTRA
PS4/PS5;X;Ghost of Tsushima: Director�s Cut;85;Adventure;Online;NL/EXTRA
PS4; ;Hotline Miami;85;Action;Online;EXTRA
PS4;X;Outer Wilds;85;Adventure;Online;BOUGHT/EXTRA
PS4; ;Resogun;85;Arcade;Online;EXTRA
PS4;X;South Park: The Stick of Truth;85;RPG;Online;EXTRA
PS4;X;Tomb Raider: Definitive Edition;85;Adventure;Online;EXTRA
PS4; ;Ys VIII: Lacrimose of DANA;85;RPG;Online;EXTRA
PS4; ;Assassin's Creed Odyssey;84;Adventure;Online;EXTRA
PS4; ;Avicii Invector;84;Music;Local;EXTRA
PS4/PS5; ;Destiny 2: The Witch King;84;Shooter;Online;EXTRA
PS4; ;Yakuza Kiwami;82;Action;Local;ESSENTIAL
PS4; ;Descenders;74;Sports;Online;ESSENTIAL
PS4;X;Kingdom Hearts HD 1.5 + 2.5 ReMIX;84;RPG;Online;EXTRA
PS4; ;Kingdom Hearts III;84;RPG;Online;EXTRA
PS4;i;Midnight Deluxe;60;Platformer;Online;BOUGHT
PS4; ;Lonely Mountains: Downhill;84;Sports;Online;EXTRA
PS4; ;Soulcalibur VI;84;Fighting;Both;EXTRA
PS4;X;Tearaway Unfolded;84;Puzzle;Online;ESSENTIAL/EXTRA
PS4/PS5;X;The Forgotten City;84;Adventure;Online;EXTRA
PS4; ;Tom Clancy's The Division 2;84;Shooter;Online;EXTRA
PS4; ;Tom Clancy�s The Division;84;Shooter;Online;EXTRA
PS4; ;Two Point Hospital: Jumbo Edition;84;Simulation;Online;EXTRA
PS4; ;Bloodstained: Ritual of the Night;83;RPG;Online;EXTRA
PS4/VR; ;Chess Ultra;83;Simulation;Both;EXTRA
PS4; ;Child of Light;83;RPG;Online;EXTRA
PS4;X;Children of Morta;83;RPG;Local;EXTRA
PS4;X;Cities: Skylines;83;Simulation;Online;ESSENTIAL/EXTRA
PS4;X;Dragon Quest Builders;83;RPG;Online;EXTRA
PS4; ;Everspace;83;Action;Online;EXTRA
PS4; ;Final Fantasy IX;83;RPG;Online;EXTRA
PS4; ;Final Fantasy X/X-2 HD Remaster;83;RPG;Online;EXTRA
PS4/PS5;X;Judgement;83;Adventure;Online;EXTRA
PS4/PS5; ;Lost Judgement;83;Action;Online;EXTRA
PS4/PS5; ;Mortal Kombat 11;83;Fighting;Both;EXTRA
PS4;i;NieR Replicant v.1.22474487139...;83;RPG;Online;EXTRA
PS4;X;Overcooked! 2;83;Arcade;Both;EXTRA
